Source,Target,Tag,Example1,URL1,Example2,URL2,Note
zero-shot,제로샷,프롬프트 엔지니어링;기법,대량의 데이터를 학습하고 지침을 따르도록 튜닝된 오늘날의 머신러닝은 제로샷(zero-shot)으로 작업을 수행할 수 있습니다. 이전 장에서 몇 가지 제로샷(zero-shot) 예제를 시도해 보았습니다. 다음은 우리가 사용한 예제 중 하나입니다.,https://www.promptingguide.ai/kr/techniques/zeroshot,,,
instruction,지시,프롬프트 엔지니어링,지시(Instruction) - 모델이 수행할 특정 작업 또는 지시,https://www.promptingguide.ai/kr/introduction/elements,,,
params,파라미터,기술 용어,5개의 입력 파라미터를 받아 비밀번호를 생성하는 함수를 만들어 봅시다!,https://www.promptingguide.ai/kr/applications/pf.kr#%EB%8B%A4%EC%A4%91-%ED%8C%8C%EB%9D%BC%EB%AF%B8%ED%84%B0params-%ED%95%A8%EC%88%98,,,
playground,플레이그라운드,기술 용어;일반 용어,아래는 OpenAI 플레이그라운드(Playground)에서 찍은 스크린샷입니다.,https://www.promptingguide.ai/kr/models/gpt-4.kr#gpt-4-%EC%A1%B0%EC%A2%85%ED%95%98%EA%B8%B0steering-gpt-4,앞으로 나오는 모든 예시에는 OpenAI의 Playground(채팅 모드)와 gpt-3.5-turbo 모델이 사용됩니다.,https://www.promptingguide.ai/kr/applications/coding.kr,"용어집과 다르게 번역되어 있어 확인이 필요할 것 같습니다. 서비스명일 경우 DNT(Do Not Translate), 그 외에 해당할 경우에는 번역하는 것이 좋을 것 같아요.

현재 번역: OpenAI Playground, OpenAI 플레이그라운드(Playground), OpenAI의 Playground(채팅 모드)로 번역되어 있어 일관성 문제가 있습니다."
prompt,프롬프트,프롬프트 엔지니어링,"프롬프트를 사용할 때, API를 사용하거나 직접 대규모언어모델(LLM)과 상호 작용 할 수 있습니다. 몇 가지 파라미터를 설정하여 프롬프트에서 여러 가지 결과를 얻을 수 있습니다.",https://www.promptingguide.ai/kr/introduction/settings,,,
prompt attack,프롬프트 공격,프롬프트 엔지니어링,모델의 기본 원칙을 위배하고 우회하도록 하는 프롬프트 공격(prompt attack)을 방어하며 LLM을 구축하는 것은 몹시 중요합니다. 마찬가지로 아래에서 그 예시를 살펴보도록 하겠습니다.,https://www.promptingguide.ai/kr/risks/adversarial.kr,,,
prompt function,프롬프트 함수,프롬프트 엔지니어링,다음으로 우리는 trans_word라는 함수를 만들 것입니다. 이 프롬프트 함수는 GPT가 중국어를 영어로 번역하게 만듭니다.,https://www.promptingguide.ai/kr/applications/pf.kr,,,
prompt injection,프롬프트 주입,프롬프트 엔지니어링,"이제까지 프롬프트 주입(prompt injection)과 관련한 다양한 유형의 적대적인 프롬프트 공격을 확인할 수 있었으며, 그 상세한 예시는 아래 목록에서 확인하실 수 있습니다.",https://www.promptingguide.ai/kr/risks/adversarial.kr,,,
property,프로퍼티,기술 용어,와루이지 효과: 프로퍼티 P를 달성하기 위해 LLM을 훈련시킨 챗봇으로 프로퍼티 P를 달성하는 것보다 프로퍼티 P의 정반대 결과를 유도하기가 더 쉽다.,https://www.promptingguide.ai/kr/risks/adversarial.kr#%EC%99%80%EB%A3%A8%EC%9D%B4%EC%A7%80-%ED%98%84%EC%83%81-the-waluigi-effect,,,
role prompting,역할 프롬프팅,프롬프트 엔지니어링;기법,예를 들어 주어진 질문에 기술적이고 과학적인 대답을 반환할 수 있는 대화형 시스템을 구축해 보겠습니다. 이른바 *역할 프롬프팅(role prompting)*이라 불리는 것입니다.,https://www.promptingguide.ai/kr/introduction/examples.kr#%EB%8C%80%ED%99%94,,,markdown 서식이 잘못 적용된 부분이 있어 수정이 필요할 것 같습니다.
self-consistency,자기 일관성,프롬프트 엔지니어링;기술 용어;기법,프롬프트 엔지니어링을 위한 더 진보된 기법 중 하나로 자기 일관성(Self-Consistency)이 있습니다.,https://www.promptingguide.ai/kr/techniques/consistency.kr,,,
snapshot,스냅샷,일반 용어,User Message는 사용자가 모델로 생성하고자 하는 특정 코드의 지시를 가진 프롬프트 자체가 됩니다. 아래는 코드 생성을 위한 첫 번째 기초 프롬프트의 스냅샷입니다.,https://www.promptingguide.ai/kr/applications/coding.kr#%EA%B8%B0%EB%B3%B8-%EC%98%88%EC%8B%9C,,,
task,작업,일반 용어,"Yao et al., 2022(opens in a new tab)에서는 대규모언어모델을 사용하여 *추론 추적(reasoning traces)*과 *작업별 행동(task-specific actions)*을 인터리브 방식으로 생성하는 ReAct라는 프레임워크를 소개했습니다.",https://www.promptingguide.ai/kr/techniques/react.kr#how-it-works,,,markdown 서식이 잘못 적용된 부분이 있어 수정이 필요할 것 같습니다.
task solving trajectories,작업 해결 궤적,프롬프트 엔지니어링,"문맥 내(in-context) 예시는 프롬프트에 추가되지만, 여기에서는 단순화를 위해 제외됨을 유의하세요. 우리는 모델이 작업 해결 궤적(생각, 행동)을 생성하는 것을 볼 수 있습니다. ",https://www.promptingguide.ai/kr/techniques/react.kr#how-it-works,,,오타가 있어 수정이 필요합니다.
technique,기법,일반 용어,"이 실습 과정에서는 대규모언어모델(LLM)을 통한 효과적인 작업과 구축을 위해 프롬프트 엔지니어링의 기법 및 도구, 사용 사례, 연습, 프로젝트를 다룹니다.",https://www.promptingguide.ai/kr,,,
program-aided language models,프로그램지원언어모델(program-aided language models; PAL),프롬프트 엔지니어링;언어모델,"Gao et al., (2022)(opens in a new tab)는 LLM을 이용하여 자연어 문제를 읽고 중간 추론 단계로서의 프로그램을 생성하는 방법을 제시합니다. 그 방법은 프로그램지원언어모델(program-aided language models; PAL)이라고 이름 붙었으며, 해답을 얻기 위해 자유 형식 텍스트를 사용하는 대신 Python 인터프리터와 같은 프로그래밍 방식의 런타임을 통해 단계적으로 해결해 나간다는 점에서 생각의 사슬(chain-of-thought) 프롬프팅과 차이가 있습니다.",https://www.promptingguide.ai/kr/applications/pal.kr,,,파이썬의 경우 DNT로 처리해야 할 것 같습니다.
Tree of Thoughts (ToT),생각의 나무,프롬프트 엔지니어링;기법,ToT는 문제를 해결하기 위한 중간 단계로서 일관된 언어 시퀀스를 나타내는 Tree of Thoughts를 유지합니다. ,https://www.promptingguide.ai/kr/techniques/tot,,,"이 용어의 경우 현재 번역이 되어 있지 않으며, 오타가 있습니다."
